[六 5月  8 13:52:21 2021] <MF> USER_CMD: 关闭系统过滤
[三 5月 19 08:53:17 2021] <MF> MOD_INIT: 正在注册字符设备驱动...
[三 5月 19 08:53:17 2021] <MF> MOD_INIT: 主次设备号 245 0
[三 5月 19 08:53:17 2021] <MF> MOD_INIT: 正在注册MQTT过滤模块...
[三 5月 19 08:53:18 2021] <MF> MOD_INIT: 模块注册成功.
[三 5月 19 08:55:21 2021] <MF> MOD_EXIT: 正在注销MQTT过滤模块...
[三 5月 19 08:55:21 2021] <MF> MOD_EXIT: 模块注销成功.
[三 5月 19 08:55:21 2021] <MF> MOD_EXIT: 正在注销字符设备驱动...
[三 5月 19 08:55:21 2021] <MF> MOD_EXIT: 字符设备驱动注销成功.
[三 5月 19 08:55:21 2021] <MF> MOD_EXIT: 成功注销MQTT过滤系统内核模块.
[三 5月 19 08:55:24 2021] <MF> MOD_INIT: 正在注册字符设备驱动...
[三 5月 19 08:55:24 2021] <MF> MOD_INIT: 主次设备号 245 0
[三 5月 19 08:55:24 2021] <MF> MOD_INIT: 正在注册MQTT过滤模块...
[三 5月 19 08:55:24 2021] <MF> MOD_INIT: 模块注册成功.
[三 5月 19 08:55:31 2021] <MF> CDEV_OPEN: 成功打开字符设备
[三 5月 19 08:55:31 2021] <MF> USER_CMD: 获取系统状态
[三 5月 19 08:55:31 2021] <MF> USER_CMD: 获取规则链表
[四 5月 20 07:21:11 2021] <MF> CDEV_CLOSE: 成功关闭字符设备
[四 5月 20 10:14:49 2021] <MF> MOD_EXIT: 正在注销MQTT过滤模块...
[四 5月 20 10:14:49 2021] <MF> MOD_EXIT: 模块注销成功.
[四 5月 20 10:14:49 2021] <MF> MOD_EXIT: 正在注销字符设备驱动...
[四 5月 20 10:14:49 2021] <MF> MOD_EXIT: 字符设备驱动注销成功.
[四 5月 20 10:14:49 2021] <MF> MOD_EXIT: 成功注销MQTT过滤系统内核模块.
[四 5月 20 10:14:52 2021] <MF> MOD_INIT: 正在注册字符设备驱动...
[四 5月 20 10:14:52 2021] <MF> MOD_INIT: 主次设备号 245 0
[四 5月 20 10:14:52 2021] <MF> MOD_INIT: 正在注册MQTT过滤模块...
[四 5月 20 10:14:52 2021] <MF> MOD_INIT: 模块注册成功.
[四 5月 20 10:21:09 2021] <MF> MOD_EXIT: 正在注销MQTT过滤模块...
[四 5月 20 10:21:09 2021] <MF> MOD_EXIT: 模块注销成功.
[四 5月 20 10:21:09 2021] <MF> MOD_EXIT: 正在注销字符设备驱动...
[四 5月 20 10:21:09 2021] <MF> MOD_EXIT: 字符设备驱动注销成功.
[四 5月 20 10:21:09 2021] <MF> MOD_EXIT: 成功注销MQTT过滤系统内核模块.
[四 5月 20 10:21:12 2021] <MF> MOD_INIT: 正在注册字符设备驱动...
[四 5月 20 10:21:12 2021] <MF> MOD_INIT: 主次设备号 245 0
[四 5月 20 10:21:12 2021] <MF> MOD_INIT: 正在注册MQTT过滤模块...
[四 5月 20 10:21:12 2021] <MF> MOD_INIT: 模块注册成功.
[四 5月 20 10:21:23 2021] <MF> CDEV_OPEN: 成功打开字符设备
[四 5月 20 10:21:23 2021] <MF> USER_CMD: 获取系统状态
[四 5月 20 10:21:23 2021] <MF> USER_CMD: 获取规则链表
[四 5月 20 10:21:58 2021] <MF> CDEV_CLOSE: 成功关闭字符设备
[四 5月 20 10:21:59 2021] <MF> CDEV_OPEN: 成功打开字符设备
[四 5月 20 10:21:59 2021] <MF> USER_CMD: 获取系统状态
[四 5月 20 10:21:59 2021] <MF> USER_CMD: 获取规则链表
[四 5月 20 10:25:30 2021] <MF> CDEV_CLOSE: 成功关闭字符设备
[四 5月 20 10:25:32 2021] <MF> MOD_EXIT: 正在注销MQTT过滤模块...
[四 5月 20 10:25:32 2021] <MF> MOD_EXIT: 模块注销成功.
[四 5月 20 10:25:32 2021] <MF> MOD_EXIT: 正在注销字符设备驱动...
[四 5月 20 10:25:32 2021] <MF> MOD_EXIT: 字符设备驱动注销成功.
[四 5月 20 10:25:32 2021] <MF> MOD_EXIT: 成功注销MQTT过滤系统内核模块.
[四 5月 20 10:25:35 2021] <MF> MOD_INIT: 正在注册字符设备驱动...
[四 5月 20 10:25:35 2021] <MF> MOD_INIT: 主次设备号 245 0
[四 5月 20 10:25:35 2021] <MF> MOD_INIT: 正在注册MQTT过滤模块...
[四 5月 20 10:25:35 2021] <MF> MOD_INIT: 模块注册成功.
[四 5月 20 10:25:37 2021] <MF> CDEV_OPEN: 成功打开字符设备
[四 5月 20 10:25:37 2021] <MF> USER_CMD: 获取系统状态
[四 5月 20 10:25:37 2021] <MF> USER_CMD: 获取规则链表
[四 5月 20 10:25:56 2021] <MF> CDEV_CLOSE: 成功关闭字符设备
[四 5月 20 10:58:32 2021] <MF> CDEV_OPEN: 成功打开字符设备
[四 5月 20 10:58:32 2021] <MF> USER_CMD: 获取系统状态
[四 5月 20 10:58:32 2021] <MF> USER_CMD: 获取规则链表
